lang,ASR,cut,value,WER corpus,95% CI,n,speakers,small cell
es-MX,elevenlabs,gender,unknown,0.0445,"[0.0249, 0.0712]",103,95,False
es-MX,whisper,target length,10-12,0.0609,"[0.0496, 0.0726]",450,301,False
es-MX,whisper,target length,13-16,0.0533,"[0.0425, 0.0652]",375,276,False
es-MX,whisper,target length,3-5,0.0889,"[0.0688, 0.1123]",225,174,False
es-MX,whisper,target length,6-9,0.0663,"[0.0537, 0.0801]",450,304,False
es-MX,whisper,gender,female,0.0637,"[0.0530, 0.0763]",562,376,False
es-MX,whisper,gender,male,0.06,"[0.0509, 0.0699]",835,492,False
es-MX,whisper,gender,unknown,0.059,"[0.0414, 0.0773]",103,95,False
es-MX,mms,target length,10-12,0.1443,"[0.1289, 0.1607]",450,301,False
es-MX,mms,target length,13-16,0.1393,"[0.1212, 0.1591]",375,276,False
es-MX,mms,target length,3-5,0.2186,"[0.1827, 0.2539]",225,174,False
es-MX,mms,target length,6-9,0.1476,"[0.1269, 0.1695]",450,304,False
es-MX,mms,gender,female,0.1526,"[0.1350, 0.1726]",562,376,False
es-MX,mms,gender,male,0.145,"[0.1305, 0.1592]",835,492,False
es-MX,mms,gender,unknown,0.1501,"[0.1176, 0.1840]",103,95,False
nl-NL,elevenlabs,target length,10-12,0.0182,"[0.0122, 0.0250]",450,104,False
nl-NL,elevenlabs,target length,13-16,0.0128,"[0.0088, 0.0175]",345,82,False
nl-NL,elevenlabs,target length,17+,0.0051,"[0.0000, 0.0113]",30,28,False
nl-NL,elevenlabs,target length,3-5,0.017,"[0.0093, 0.0268]",225,83,False
nl-NL,elevenlabs,target length,6-9,0.0184,"[0.0131, 0.0248]",450,139,False
nl-NL,elevenlabs,gender,female,0.0128,"[0.0081, 0.0177]",272,92,False
nl-NL,elevenlabs,gender,male,0.0166,"[0.0129, 0.0202]",994,196,False
nl-NL,elevenlabs,gender,unknown,0.0169,"[0.0105, 0.0246]",234,91,False
nl-NL,whisper,target length,10-12,0.0378,"[0.0288, 0.0485]",450,104,False
nl-NL,whisper,target length,13-16,0.0331,"[0.0259, 0.0409]",345,82,False
nl-NL,whisper,target length,17+,0.034,"[0.0148, 0.0558]",30,28,False
nl-NL,whisper,target length,3-5,0.0492,"[0.0332, 0.0665]",225,83,False
nl-NL,whisper,target length,6-9,0.0443,"[0.0335, 0.0577]",450,139,False
nl-NL,whisper,gender,female,0.0323,"[0.0238, 0.0420]",272,92,False
nl-NL,whisper,gender,male,0.0396,"[0.0333, 0.0466]",994,196,False
nl-NL,whisper,gender,unknown,0.0409,"[0.0296, 0.0543]",234,91,False
nl-NL,mms,target length,10-12,0.0706,"[0.0568, 0.0867]",450,104,False
nl-NL,mms,target length,13-16,0.0639,"[0.0538, 0.0760]",345,82,False
nl-NL,mms,target length,17+,0.1002,"[0.0601, 0.1424]",30,28,False
nl-NL,mms,target length,3-5,0.1079,"[0.0820, 0.1370]",225,83,False
nl-NL,mms,target length,6-9,0.0952,"[0.0788, 0.1164]",450,139,False
nl-NL,mms,gender,female,0.0736,"[0.0591, 0.0904]",272,92,False
nl-NL,mms,gender,male,0.0777,"[0.0666, 0.0908]",994,196,False
nl-NL,mms,gender,unknown,0.0844,"[0.0685, 0.1040]",234,91,False
pt-BR,elevenlabs,target length,10-12,0.0409,"[0.0305, 0.0526]",300,124,False
pt-BR,elevenlabs,target length,13-16,0.0286,"[0.0184, 0.0409]",150,82,False
pt-BR,elevenlabs,target length,3-5,0.0801,"[0.0577, 0.1033]",525,143,False
pt-BR,elevenlabs,target length,6-9,0.0613,"[0.0469, 0.0766]",525,159,False
pt-BR,elevenlabs,gender,female,0.0456,"[0.0291, 0.0659]",132,78,False
pt-BR,elevenlabs,gender,male,0.0587,"[0.0470, 0.0712]",774,184,False
pt-BR,elevenlabs,gender,unknown,0.0476,"[0.0382, 0.0592]",594,161,False
pt-BR,whisper,target length,10-12,0.0654,"[0.0486, 0.0844]",300,124,False
pt-BR,whisper,target length,13-16,0.0483,"[0.0340, 0.0656]",150,82,False
pt-BR,whisper,target length,3-5,0.0941,"[0.0709, 0.1229]",525,143,False
pt-BR,whisper,target length,6-9,0.0829,"[0.0635, 0.1042]",525,159,False
pt-BR,whisper,gender,female,0.0525,"[0.0350, 0.0718]",132,78,False
pt-BR,whisper,gender,male,0.0782,"[0.0623, 0.0955]",774,184,False
pt-BR,whisper,gender,unknown,0.0728,"[0.0588, 0.0896]",594,161,False
pt-BR,mms,target length,10-12,0.2129,"[0.1812, 0.2503]",300,124,False
pt-BR,mms,target length,13-16,0.1802,"[0.1511, 0.2135]",150,82,False
pt-BR,mms,target length,3-5,0.23,"[0.1932, 0.2728]",525,143,False
pt-BR,mms,target length,6-9,0.2537,"[0.2165, 0.2935]",525,159,False
pt-BR,mms,gender,female,0.1962,"[0.1556, 0.2424]",132,78,False
pt-BR,mms,gender,male,0.2329,"[0.2023, 0.2650]",774,184,False
pt-BR,mms,gender,unknown,0.2195,"[0.1906, 0.2540]",594,161,False
ky,elevenlabs,target length,10-12,0.1532,"[0.1030, 0.2233]",70,28,False
ky,elevenlabs,target length,3-5,0.2367,"[0.1743, 0.3158]",240,41,False
ky,elevenlabs,target length,6-9,0.1689,"[0.1349, 0.2105]",384,73,False
ky,elevenlabs,gender,female,0.2089,"[0.1566, 0.2848]",119,32,False
ky,elevenlabs,gender,male,0.1911,"[0.1457, 0.2430]",274,60,False
ky,elevenlabs,gender,unknown,0.1649,"[0.1310, 0.2086]",301,52,False
ky,mms,target length,10-12,0.2241,"[0.1740, 0.2888]",70,28,False
ky,mms,target length,3-5,0.279,"[0.2374, 0.3289]",240,41,False
ky,mms,target length,6-9,0.2326,"[0.1980, 0.2772]",384,73,False
ky,mms,gender,female,0.2675,"[0.2221, 0.3284]",119,32,False
ky,mms,gender,male,0.2383,"[0.1971, 0.2882]",274,60,False
ky,mms,gender,unknown,0.2364,"[0.2022, 0.2766]",301,52,False
ky,gigaam,target length,10-12,0.0823,"[0.0475, 0.1294]",70,28,False
ky,gigaam,target length,3-5,0.1647,"[0.1255, 0.2175]",240,41,False
ky,gigaam,target length,6-9,0.0784,"[0.0563, 0.1075]",384,73,False
ky,gigaam,gender,female,0.1261,"[0.0803, 0.1876]",119,32,False
ky,gigaam,gender,male,0.0977,"[0.0732, 0.1278]",274,60,False
ky,gigaam,gender,unknown,0.0913,"[0.0634, 0.1277]",301,52,False
